max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,formula_charge,formula_discharge,stability_charge,stability_discharge,id_charge,id_discharge,battery_id,working_ion,battery_type
0.05978074887177609,-0.7098247249999966,128.6245333196584,340.34409529140214,-91.30087399187943,-241.58465384559216,0.0,0.07692307692307693,Ti5O7,Ti5ZnO7,0.1550076733333423,0.25317403980769093,mp-1045759,mp-1045822,mp-1045759_Zn,Zn,insertion
0.08784047849859222,2.5433388900000016,222.32981423515628,284.1444166545602,565.4600629507489,722.6755452539071,0.0,0.14285714285714285,FeO2,Zn(FeO2)2,0.3091317108333298,0.06397672857142833,mp-1443203,mp-34730,mp-34730_Zn,Zn,insertion
0.01748249481116626,2.248906327499999,222.32981423515628,162.25890559368483,499.9989260253423,364.9050794828628,0.0,0.14285714285714285,FeO2,Zn(FeO2)2,0.390693967916663,0.21801082392857118,mp-1047285,mp-1378434,mp-1047285_Zn,Zn,insertion
1.402256896761764,1.2609662387500016,342.859288382601,554.8648806895159,432.3339872923105,699.6658816175272,0.0,0.25,CoO2,ZnCoO2,0.008136560000000514,0.10265842499999955,mp-25234,mp-754633,mp-25234_Zn,Zn,insertion
0.014055617423569977,0.2147660125000007,143.73595847206334,210.68494037135457,30.86959865391074,45.24796453735624,0.0,0.14285714285714285,SbO2,Zn(SbO2)2,0.2723503137500014,0.36001436214285576,mp-1400172,mp-1046871,mp-1046871_Zn,Zn,insertion
0.10011051000713578,1.6014407799999977,224.0152110072307,308.61371835315526,358.7470942472836,494.22659383817654,0.0,0.14285714285714285,MnO2,Mn2ZnO4,0.20643723250000168,0.1538626564285721,mp-1371977,mp-1047660,mp-1047660_Zn,Zn,insertion
0.13118040916149387,1.6194500175000006,224.0152110072307,281.2387673527409,362.7814373859261,455.45212671107487,0.0,0.14285714285714285,MnO2,Mn2ZnO4,0.032933879166668234,0.0,mp-25275,mp-18751,mp-18751_Zn,Zn,insertion
0.09046153685738423,0.45990608500000063,59.77367357251716,151.83198957957865,27.49027619880437,69.8284559053049,0.0,0.09090909090909091,W2O3,Zn(W2O3)2,0.8731160285000037,0.7580433447727284,mp-1372094,mp-1043075,mp-1043075_Zn,Zn,insertion
0.02897259775473371,2.303984334999996,113.41441089701563,562.7362680723414,261.30502606997686,1296.5355463750332,0.0,0.07142857142857142,Fe5O8,ZnFe5O8,0.1817684509615356,0.009289728571422629,mp-1225007,mp-35033,mp-35033_Zn,Zn,insertion
0.01530181622154414,0.41295562750000475,90.16563030825485,195.28684283240284,37.23440444287883,80.64480072434972,0.1111111111111111,0.2,Zn(WO3)2,ZnWO3,0.08579445166666666,0.08881852949999747,mp-1045708,mp-1340971,mp-1045708_Zn,Zn,insertion
0.026638400305535104,0.10544269000000439,107.83425320804821,80.19642139714371,11.370333732398207,8.456126400488744,0.0,0.14285714285714285,WO2,Zn(WO2)2,0.31283727250000126,0.31332384749999953,mp-1380432,mp-1041123,mp-1041123_Zn,Zn,insertion
0.10507829084284159,-0.20586527750000216,146.12615958255967,235.9200851684075,-30.082302392473245,-48.567753801018355,0.0,0.14285714285714285,SnO2,Zn(SnO2)2,0.30487798666666066,0.39511164607142746,mp-1047381,mp-1047404,mp-1047381_Zn,Zn,insertion
0.1395848640832149,0.34665051000000047,113.9677690824396,180.876596379369,39.506985275989976,62.700964381972504,0.1111111111111111,0.2,Zn(SbO3)2,ZnSbO3,0.11503665222222281,0.16128251050000575,mp-1045304,mp-1348382,mp-1045304_Zn,Zn,insertion
0.09768485983230657,1.7184404887500002,334.29654868632474,853.8262901693251,574.4687245119661,1467.2496673861747,0.0,0.2222222222222222,Mn2O5,Mn2Zn2O5,0.3967791685714346,0.2807534633333253,mp-1104282,mp-1373342,mp-1104282_Zn,Zn,insertion
0.09163922254964252,2.125852613749999,216.77645540957698,78.89133683295037,460.83479433190934,167.7113546085591,0.0,0.14285714285714285,CoO2,Zn(CoO2)2,0.1812855937500002,0.09173255421052673,mp-1349907,mp-1350001,mp-1349907_Zn,Zn,insertion
