num,symbol,number,row,group,atomic_mass,molar_volume,atomic_radius,ionic_radius,covalent_radius,van_der_waals_radius,electron_negativity,electron_affinity,electrical_resistivity,thermal_cond,boiling_point,melting_point,Tc,enthalpy_of_fusion,first_ionization_energy,second_ionization_energy,s,p,d,f,Omax,Omin,valance,block,electron_shell,metal,noble_gas,alkali_metal,rare_earth_metal,Over_metal,Lanthanide_metals,actinoid,Halogen,alkaline,poissons_ratio,bulk_modulus,youngs_modul,rigidity_modul,thermal_expansion
88,Ac,89,9,3,227,22.55,2.47,1.26,2.01,283,1.09,33.77,0,12,3573,1323,0,14,499,1170,2,0,1,0,3,3,3,f,2.8.18.32.18.9.2,1,0,0,1,1,0,1,0,0,,,,,
89,Th,90,9,4,232.03806,19.8,2.45,1.08,1.9,305,1.32,0,1.50E-07,54,5093,2115,0,16,587,1110,2,0,2,0,4,2,4,f,2.8.18.32.18.10.2,1,0,0,1,1,0,1,0,0,0.27,54,79,31,1.10E-05
90,Pa,91,9,5,231.03588,15.18,2.43,1.04,1.84,340,1.54,0,1.80E-07,47,1841,1841,0,15,568,,2,0,1,2,5,3,5,f,2.8.18.32.20.9.2,1,0,0,1,1,0,1,0,0,,,,,
91,U,92,9,6,238.02891,12.49,2.41,0.99125,1.83,305,1.7,0,2.80E-07,27,4200,1405.3,0,14,597.6,1420,2,0,1,3,6,3,6,f,2.8.18.32.21.9.2,1,0,0,1,1,0,1,0,0,0.23,100,208,111,1.39E-05
92,Np,93,9,7,237,11.59,2.39,1,1.8,270,1.36,0,1.20E-06,6,4273,910,0,10,604.5,,2,0,1,4,7,3,6,f,2.8.18.32.22.9.2,1,0,0,1,1,0,1,0,0,,,,,
93,Pu,94,9,8,244,12.29,2.43,0.9675,1.8,0,1.3,0,1.50E-06,6,3503,912.5,0,2.8,584.7,,2,0,0,6,7,3,6,f,2.8.18.32.24.8.2,1,0,0,1,1,0,1,0,0,0.21,,96,43,
94,Am,95,9,9,243,17.63,2.44,1.168333333,1.73,0,1.3,0,0,10,2880,1449,0,0,578,,2,0,0,7,6,2,4,f,2.8.18.32.25.8.2,1,0,0,1,1,0,1,0,0,,,,,
95,Cm,96,9,10,247,18.05,2.45,1.05,1.68,0,1.3,0,0,8.8,3383,1613,0,0,581,,2,0,1,7,4,3,4,f,2.8.18.32.25.9.2,1,0,0,1,1,0,1,0,0,,,,,
96,Bk,97,9,11,247,16.84,2.44,1.035,1.68,0,1.3,0,0,10,1259,1259,0,0,601,,2,0,0,9,4,3,4,f,2.8.18.32.27.8.2,1,0,0,1,1,0,1,0,0,,,,,
97,Cf,98,9,12,251,16.5,2.45,1.0255,1.68,0,1.3,0,0,10,1173,1173,0,0,608,1160,2,0,0,10,4,2,4,f,2.8.18.32.28.8.2,1,0,0,1,1,0,1,0,0,,,,,
98,Es,99,9,13,252,28.52,2.45,0,1.65,0,1.3,0,0,10,1133,1133,0,0,619,,2,0,0,11,3,2,4,f,2.8.18.32.29.8.2,1,0,0,1,1,0,1,0,0,,,,,
99,Fm,100,9,14,257,0,2.45,0,1.67,0,1.3,0,0,10,1800,1800,0,0,627,,2,0,0,12,3,2,3,f,2.8.18.32.30.8.2,1,0,0,1,1,0,1,0,0,,,,,
100,Md,101,9,15,258,0,2.46,0,1.73,0,1.33,0,0,10,1100,1100,0,0,635,,2,0,0,13,3,2,3,f,2.8.18.32.31.8.2,1,0,0,1,1,0,1,0,0,,,,,
101,No,102,9,16,259,0,2.46,1.24,1.76,0,1.36,0,0,10,1100,1100,0,0,642,,2,0,0,14,3,2,3,f,2.8.18.32.32.8.2,1,0,0,1,1,0,1,0,0,,,,,
102,Lr,103,9,17,262,0,2.46,0,1.61,0,1.34,0,0,10,1900,1900,0,0,472.8,,2,1,0,14,3,3,3,d,2.8.18.32.32.9.2,1,0,0,1,1,0,1,0,0,,,,,
